IRDye™ 800 in PBS,,IRDye800CW emis corr.,,,,,,
Wavelength (nm),Absorption AU,wavelength,signal,,,,,
568,0.0018,,,,,,,
569,0.0020,,,,,,,
570,0.0021,,,,,,,
571,0.0021,,,,,,,
572,0.0020,,,,,,,
573,0.0020,,,,,,,
574,0.0021,,,,,,,
575,0.0023,,,,,,,
576,0.0021,,,,,,,
577,0.0020,,,,,,,
578,0.0023,,,,,,,
579,0.0023,,,,,,,
580,0.0023,,,,,,,
581,0.0023,,,,,,,
582,0.0024,,,,,,,
583,0.0022,,,,,,,
584,0.0025,,,,,,,
585,0.0026,,,,,,,
586,0.0026,,,,,,,
587,0.0027,,,,,,,
588,0.0027,,,,,,,
589,0.0027,,,,,,,
590,0.0027,,,,,,,
591,0.0028,,,,,,,
592,0.0029,,,,,,,
593,0.0030,,,,,,,
594,0.0028,,,,,,,
595,0.0032,,,,,,,
596,0.0030,,,,,,,
597,0.0032,,,,,,,
598,0.0034,,,,,,,
599,0.0032,,,,,,,
600,0.0033,,,,,,,
601,0.0034,,,,,,,
602,0.0036,,,,,,,
603,0.0033,,,,,,,
604,0.0036,,,,,,,
605,0.0037,,,,,,,
606,0.0036,,,,,,,
607,0.0038,,,,,,,
608,0.0037,,,,,,,
609,0.0039,,,,,,,
610,0.0039,,,,,,,
611,0.0039,,,,,,,
612,0.0040,,,,,,,
613,0.0041,,,,,,,
614,0.0040,,,,,,,
615,0.0042,,,,,,,
616,0.0042,,,,,,,
617,0.0042,,,,,,,
618,0.0042,,,,,,,
619,0.0043,,,,,,,
620,0.0045,,,,,,,
621,0.0045,,,,,,,
622,0.0046,,,,,,,
623,0.0047,,,,,,,
624,0.0047,,,,,,,
625,0.0048,,,,,,,
626,0.0050,,,,,,,
627,0.0049,,,,,,,
628,0.0054,,,,,,,
629,0.0054,,,,,,,
630,0.0054,,,,,,,
631,0.0054,,,,,,,
632,0.0053,,,,,,,
633,0.0057,,,,,,,
634,0.0056,,,,,,,
635,0.0059,,,,,,,
636,0.0059,,,,,,,
637,0.0061,,,,,,,
638,0.0060,,,,,,,
639,0.0063,,,,,,,
640,0.0062,,,,,,,
641,0.0063,,,,,,,
642,0.0064,,,,,,,
643,0.0067,,,,,,,
644,0.0071,,,,,,,
645,0.0069,,,,,,,
646,0.0072,,,,,,,
647,0.0071,,,,,,,
648,0.0072,,,,,,,
649,0.0073,,,,,,,
650,0.0074,,,,,,,
651,0.0076,,,,,,,
652,0.0077,,,,,,,
653,0.0079,,,,,,,
654,0.0080,,,,,,,
655,0.0082,,,,,,,
656,0.0086,,,,,,,
657,0.0084,,,,,,,
658,0.0086,,,,,,,
659,0.0087,,,,,,,
660,0.0087,,,,,,,
661,0.0092,,,,,,,
662,0.0092,,,,,,,
663,0.0093,,,,,,,
664,0.0095,,,,,,,
665,0.0097,,,,,,,
666,0.0099,,,,,,,
667,0.0101,,,,,,,
668,0.0105,,,,,,,
669,0.0105,,,,,,,
670,0.0107,,,,,,,
671,0.0112,,,,,,,
672,0.0113,,,,,,,
673,0.0116,,,,,,,
674,0.0118,,,,,,,
675,0.0119,,,,,,,
676,0.0122,,,,,,,
677,0.0125,,,,,,,
678,0.0127,,,,,,,
679,0.0128,,,,,,,
680,0.0134,,,,,,,
681,0.0135,,,,,,,
682,0.0138,,,,,,,
683,0.0140,,,,,,,
684,0.0143,,,,,,,
685,0.0144,,,,,,,
686,0.0148,,,,,,,
687,0.0150,,,,,,,
688,0.0154,,,,,,,
689,0.0156,,,,,,,
690,0.0158,,,,,,,
691,0.0163,,,,,,,
692,0.0164,,,,,,,
693,0.0167,,,,,,,
694,0.0168,,,,,,,
695,0.0172,,,,,,,
696,0.0174,,,,,,,
697,0.0177,,,,,,,
698,0.0178,,,,,,,
699,0.0180,,,,,,,
700,0.0182,,,,,,,
701,0.0183,,,,,,,
702,0.0185,,,,,,,
703,0.0188,,,,,,,
704,0.0189,,,,,,,
705,0.0189,,,,,,,
706,0.0190,,,,,,,
707,0.0192,,,,,,,
708,0.0193,,,,,,,
709,0.0194,,,,,,,
710,0.0196,,,,,,,
711,0.0193,,,,,,,
712,0.0197,,,,,,,
713,0.0196,,,,,,,
714,0.0198,,,,,,,
715,0.0198,,,,,,,
716,0.0200,,,,,,,
717,0.0200,,,,,,,
718,0.0201,,,,,,,
719,0.0202,,,,,,,
720,0.0203,,,,,,,
721,0.0204,,,,,,,
722,0.0206,,,,,,,
723,0.0209,,,,,,,
724,0.0210,,,,,,,
725,0.0213,,,,,,,
726,0.0218,,,,,,,
727,0.0219,,,,,,,
728,0.0223,,,,,,,
729,0.0226,,,,,,,
730,0.0229,,,,,,,
731,0.0235,,,,,,,
732,0.0240,,,,,,,
733,0.0246,,,,,,,
734,0.0249,,,,,,,
735,0.0257,,,,,,,
736,0.0261,,,,,,,
737,0.0270,,,,,,,
738,0.0274,,,,,,,
739,0.0283,,,,,,,
740,0.0290,,,,,,,
741,0.0298,,,,,,,
742,0.0307,,,,,,,
743,0.0315,,,,,,,
744,0.0324,,,,,,,
745,0.0332,,,,,,,
746,0.0343,,,,,,,
747,0.0354,,,,,,,
748,0.0366,,,,,,,
749,0.0377,,,,,,,
750,0.0389,,,,,,,
751,0.0399,,,,,,,
752,0.0413,,,,,,,
753,0.0426,,,,,,,
754,0.0438,,,,,,,
755,0.0452,,,,,,,
756,0.0467,,,,,,,
757,0.0481,,,,,,,
758,0.0495,,,,,,,
759,0.0509,,,,,,,
760,0.0524,,,,,,,
761,0.0537,,,,,,,
762,0.0552,,,,,,,
763,0.0568,,,,,,,
764,0.0582,,,,,,,
765,0.0595,,,,,,,
766,0.0606,,,,,,,
767,0.0618,,,,,,,
768,0.0630,,,,,,,
769,0.0638,,,,,,,
770,0.0644,,,,,,,
771,0.0652,,,,,,,
772,0.0654,,,,,,,
773,0.0660,,,,,,,
774,0.0659,,,,,,,
775,0.0658,,,,,,,
776,0.0655,,,,,,,
777,0.0650,,,,,,,
778,0.0642,,,,,,,
779,0.0632,,,,,,,
780,0.0620,,,,,,,
781,0.0606,,,,,,,
782,0.0591,,,,,,,
783,0.0574,,,,,,,
784,0.0553,,,,,,,
785,0.0533,,,,,,,
786,0.0512,,,,,,,
787,0.0488,,,,,,,
788,0.0466,,,,,,,
789,0.0442,,,,,,,
790,0.0418,,,,,,,
791,0.0394,,,,,,,
792,0.0370,,,,,,,
793,0.0346,,,,,,,
794,0.0323,,,,,,,
795,0.0300,,,,,,,
796,0.0279,,,,,,,
797,0.0257,,,,,,,
798,0.0238,,,,,,,
799,0.0218,,,,,,,
800,0.0200,,,,,,,
801,0.0183,,,,,,,
802,0.0169,,,,,,,
803,0.0153,,,,,,,
804,0.0141,,,,,,,
805,0.0127,,,,,,,
806,0.0117,,,,,,,
807,0.0105,,,,,,,
808,0.0097,,,,,,,
809,0.0086,,,,,,,
810,0.0078,,,,,,,
811,0.0071,,,,,,,
812,0.0065,,,,,,,
813,0.0059,,,,,,,
814,0.0053,,,,,,,
815,0.0048,,,,,,,
816,0.0043,,,,,,,
817,0.0038,,,,,,,
818,0.0036,,,,,,,
819,0.0034,,,,,,,
820,0.0030,,,,,,,
821,0.0026,,,,,,,
822,0.0025,,,,,,,
823,0.0022,,,,,,,
824,0.0021,,,,,,,
825,0.0019,,,,,,,
826,0.0015,,,,,,,
827,0.0014,,,,,,,
828,0.0013,,,,,,,
829,0.0014,,,,,,,
830,0.0011,,,,,,,
831,0.0012,,,,,,,
832,0.0010,,,,,,,
833,0.0011,,,,,,,
834,0.0009,,,,,,,
835,0.0009,,,,,,,
836,0.0010,,,,,,,
837,0.0006,,,,,,,
838,0.0006,,,,,,,
839,0.0008,,,,,,,
840,0.0004,,,,,,,
841,0.0005,,,,,,,
842,0.0005,,,,,,,
843,0.0005,,,,,,,
844,0.0005,,,,,,,
845,0.0004,,,,,,,
846,0.0005,,,,,,,
847,0.0003,,,,,,,
848,0.0004,,,,,,,
849,0.0004,,,,,,,
